namespace label|resource label|namespace|resource uri|parent uri|domain|range
dbo|final lost|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/finalLost|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/TennisPlayer|http://www.w3.org/2001/XMLSchema#nonNegativeInteger
dbo|final lost double|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/finalLostDouble|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/TennisPlayer|http://www.w3.org/2001/XMLSchema#string
dbo|final lost single|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/finalLostSingle|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/TennisPlayer|http://www.w3.org/2001/XMLSchema#string
dbo|final lost team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/finalLostTeam|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Athlete|http://www.w3.org/2001/XMLSchema#string
dbo|final publication date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/finalPublicationDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PeriodicalLiterature|http://www.w3.org/2001/XMLSchema#date
dbo|final publication year|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/finalPublicationYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PeriodicalLiterature|http://www.w3.org/2001/XMLSchema#gYear
dbo|fips code|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/fipsCode|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PopulatedPlace|http://www.w3.org/2001/XMLSchema#string
dbo|first air date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstAirDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Broadcaster|http://www.w3.org/2001/XMLSchema#date
dbo|first appearance|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstAppearance|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FictionalCharacter|http://www.w3.org/2001/XMLSchema#string
dbo|first ascent|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstAscent|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Mountain,Volcano|http://www.w3.org/2001/XMLSchema#string
dbo|person that first ascented a mountain|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstAscentPerson|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Mountain|http://dbpedia.org/ontology/Person
dbo|year of first ascent|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstAscentYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Mountain|http://www.w3.org/2001/XMLSchema#gYear
dbo|first broadcast|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstBroadcast|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Film|http://www.w3.org/2001/XMLSchema#string
dbo|first driver|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstDriver|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/GrandPrix|http://dbpedia.org/ontology/Person
dbo|first driver country|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstDriverCountry|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/GrandPrix|http://dbpedia.org/ontology/Country
dbo|winning team|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstDriverTeam|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/GrandPrix|http://dbpedia.org/ontology/SportsTeam
dbo|first flight|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstFlight|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/SpaceShuttle|http://dbpedia.org/ontology/SpaceMission
dbo|first flight end date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstFlightEndDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/SpaceShuttle|http://www.w3.org/2001/XMLSchema#date
dbo|first flight start date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstFlightStartDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/SpaceShuttle|http://www.w3.org/2001/XMLSchema#date
dbo|first game|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstGame|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/SoccerClub|http://www.w3.org/2001/XMLSchema#string
dbo|first launch|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstLaunch|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/YearInSpaceflight|http://www.w3.org/2001/XMLSchema#date
dbo|first launch date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstLaunchDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/LaunchPad|http://www.w3.org/2001/XMLSchema#date
dbo|first launch rocket|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstLaunchRocket|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/LaunchPad|http://dbpedia.org/ontology/Rocket
dbo|first leader|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstLeader|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://dbpedia.org/ontology/Person
dbo|first mention|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstMention|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PopulatedPlace|http://www.w3.org/2001/XMLSchema#string
dbo|first olympic event|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstOlympicEvent|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Sport|http://dbpedia.org/ontology/OlympicEvent
dbo|first owner|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstOwner|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://dbpedia.org/ontology/Agent
dbo|first place|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstPlace|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
dbo|first popular vote|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstPopularVote|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://dbpedia.org/ontology/Person
dbo|first pro match|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstProMatch|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Athlete|http://www.w3.org/2001/XMLSchema#string
dbo|first publication date|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstPublicationDate|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/WrittenWork|http://www.w3.org/2001/XMLSchema#date
dbo|first publication year|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstPublicationYear|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/PeriodicalLiterature|http://www.w3.org/2001/XMLSchema#gYear
dbo|first publisher|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstPublisher|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/WrittenWork|http://dbpedia.org/ontology/Agent
dbo|first race|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstRace|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FormulaOneRacer|http://dbpedia.org/ontology/GrandPrix
dbo|first win|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstWin|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/FormulaOneRacer|http://dbpedia.org/ontology/GrandPrix
dbo|first winner|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/firstWinner|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Race|http://dbpedia.org/ontology/Person
dbo|flag (image)|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flag|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
dbo|flag bearer|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flagBearer|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/OlympicResult|http://dbpedia.org/ontology/Person
dbo|flag border|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flagBorder|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property||http://www.w3.org/2001/XMLSchema#string
dbo|flag caption|http://dbpedia.org/ontology/|http://dbpedia.org/ontology/flagCaption|http://www.w3.org/1999/02/22-rdf-syntax-ns#Property|http://dbpedia.org/ontology/Flag|http://www.w3.org/2001/XMLSchema#string
